City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Blackwater,AU,88.86,clear sky,-23.5833,148.8833,Blackwater Motor Inn
533,Bosobolo,CD,75.52,broken clouds,4.1833,19.9,
539,Edd,ER,83.5,clear sky,13.9297,41.6925,
540,Acapulco,MX,76.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
541,Belawan,ID,79.09,scattered clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
543,Maragogi,BR,77.94,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
551,Manggar,ID,85.05,few clouds,-2.8833,108.2667,Guest Hotel
554,Itoman,JP,77.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
563,Pundaguitan,PH,81.99,few clouds,6.3711,126.1689,Leonardo Family Beach House 1
565,Nambucca Heads,AU,78.17,broken clouds,-30.65,153.0,Marcel Towers Holiday Apartments
567,Road Town,VG,77.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
574,Grand-Lahou,CI,79.36,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
577,Belem De Sao Francisco,BR,77.58,broken clouds,-8.7539,-38.9658,Village Hotel
578,Kenda,IN,79.5,scattered clouds,23.2,86.5333,Dilip kumar mudi
582,Elesbao Veloso,BR,75.6,overcast clouds,-6.2019,-42.1403,Pousada Paraiso
583,Castle Bruce,DM,76.26,overcast clouds,15.4333,-61.2667,Sunrise Farm Cottages
585,Lagos,NG,84.52,overcast clouds,6.5833,3.75,
587,Tezu,IN,77.9,overcast clouds,27.9167,96.1667,Circuit House
592,Lao Cai,VN,75.4,overcast clouds,22.4833,103.95,Legend Hotel
594,Mattru,SL,77.32,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
596,Martapura,ID,87.89,few clouds,-3.4167,114.85,Montana Hotel Syariah
598,Tombouctou,ML,79.5,overcast clouds,20.0,-3.0,
601,Buluang,PH,88.25,clear sky,13.3068,123.3425,Enon Beach Resort
611,Manta,EC,75.76,broken clouds,-0.95,-80.7333,Balandra Hotel
616,Manokwari,ID,81.52,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
619,Hilsa,IN,75.13,clear sky,25.3167,85.2833,Mr. Akiv House
624,Ankpa,NG,76.41,scattered clouds,7.3706,7.6253,AA Suites
627,Fare,PF,82.13,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
629,Aquiraz,BR,80.19,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
630,Sabya,SA,80.22,clear sky,17.1495,42.6254,Aseel Hotel Apartment
635,Anito,PH,81.36,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
639,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
640,Dwarka,IN,76.75,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
641,Vega De Alatorre,MX,76.64,broken clouds,20.0333,-96.6333,Hotel Deluxe
643,Las Vegas,US,76.17,clear sky,36.175,-115.1372,Plaza Hotel & Casino
644,Vaitape,PF,82.45,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
647,Boma,GH,75.09,overcast clouds,7.0805,-2.1697,Obaatanpa Hotel
654,Hambantota,LK,80.62,few clouds,6.1241,81.1185,Bungalow 63
655,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
656,Tokonou,GN,78.51,few clouds,9.65,-9.7833,
662,Kidal,ML,78.06,scattered clouds,18.4411,1.4078,
669,Sasaram,IN,82.81,clear sky,24.951,84.0149,Circuit House
670,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
671,Pringsewu,ID,82.99,broken clouds,-5.3582,104.9744,Urban Style by Front One
672,Labuhan,ID,83.48,overcast clouds,-6.8844,112.2051,DoubleFAG
675,Hun,LY,76.46,overcast clouds,29.1268,15.9477,Alrwasi Hotel
676,Gao,ML,76.68,few clouds,16.6362,1.637,
680,Portobelo,PA,79.72,broken clouds,9.55,-79.65,Scuba Portobelo
690,Amuntai,ID,88.75,few clouds,-2.4177,115.2494,Hotel Balqis
694,Atambua,ID,80.82,broken clouds,-9.1061,124.8925,Kost Alfa Flat
